Architecture,Activation,Optimizer,Sequence_Length,Gradient_Clipping,Train_Accuracy,Test_Accuracy,F1_Score,Time_per_Epoch,Total_Training_Time
RNN,sigmoid,adam,25,False,0.49868,0.6624,0.662235330806781,3.0028915882110594,17.757395029067993
RNN,sigmoid,adam,25,True,0.50016,0.69144,0.6914388625202228,3.2433237552642824,19.049866914749146
RNN,sigmoid,adam,50,False,0.50388,0.59004,0.5854415927847056,4.3600770950317385,25.759487867355347
RNN,sigmoid,adam,50,True,0.50024,0.6574,0.6573972367031524,4.498740243911743,26.26622414588928
RNN,sigmoid,adam,100,False,0.501,0.5672,0.5535074051646922,6.9391786575317385,40.621466875076294
RNN,sigmoid,adam,100,True,0.49868,0.70352,0.7018338585434174,7.126180791854859,41.52116298675537
RNN,sigmoid,sgd,25,False,0.50068,0.49932,0.3330309740415655,2.0902456283569335,13.29218816757202
RNN,sigmoid,sgd,25,True,0.50068,0.49992,0.3359102607408181,2.3394518375396727,14.540740966796877
RNN,sigmoid,sgd,50,False,0.49792,0.50708,0.4979297700593312,3.3472542762756348,20.46869111061096
RNN,sigmoid,sgd,50,True,0.49952,0.50096,0.3539373584456867,3.613185834884644,21.807090044021606
RNN,sigmoid,sgd,100,False,0.50008,0.51168,0.4305966367395573,5.978465890884399,35.505409240722656
RNN,sigmoid,sgd,100,True,0.50088,0.5112,0.4357470438372055,6.3907993793487545,37.63413310050965
RNN,sigmoid,rmsprop,25,False,0.50068,0.49932,0.3330309740415655,2.632794666290283,16.03041100502014
RNN,sigmoid,rmsprop,25,True,0.50088,0.49944,0.3335099050973494,2.8649919033050537,17.228645086288452
RNN,sigmoid,rmsprop,50,False,0.50124,0.50256,0.4715287032258112,3.9165008544921873,23.335739135742188
RNN,sigmoid,rmsprop,50,True,0.49704,0.5552,0.5541312161422001,4.139304351806641,24.44584608078003
RNN,sigmoid,rmsprop,100,False,0.50072,0.51192,0.4716742583002823,6.533453941345215,38.29907298088074
RNN,sigmoid,rmsprop,100,True,0.49772,0.50068,0.3478953141822824,6.773879671096802,39.579904079437256
RNN,relu,adam,25,False,0.49852,0.6856,0.6738764587597281,2.7194753646850587,15.998746871948242
RNN,relu,adam,25,True,0.50132,0.69036,0.681450417408098,2.9932110786437987,17.38585090637207
RNN,relu,adam,50,False,0.50052,0.74008,0.7400798336510935,3.7184798240661623,21.36956000328064
RNN,relu,adam,50,True,0.50128,0.74496,0.7429768438712225,3.9465306758880616,22.528143167495728
RNN,relu,adam,100,False,0.5034,0.65956,0.6358197047875709,5.901535415649414,33.23644018173218
RNN,relu,adam,100,True,0.50428,0.77752,0.777164888540233,6.174719381332397,34.62900495529175
RNN,relu,sgd,25,False,0.49656,0.5038,0.4910494875644997,1.854254150390625,11.598932266235352
RNN,relu,sgd,25,True,0.49616,0.50288,0.4917472313556134,2.0237076759338377,12.414933919906616
RNN,relu,sgd,50,False,0.50072,0.50528,0.4743967291565665,2.879447412490845,17.141063928604126
RNN,relu,sgd,50,True,0.5014,0.505,0.4742615222437932,3.0830280780792236,18.185549020767212
RNN,relu,sgd,100,False,0.49756,0.50464,0.504346839792296,5.003467226028443,28.72368097305298
RNN,relu,sgd,100,True,0.49656,0.5038,0.5034570683841775,5.199058151245117,29.73008108139038
RNN,relu,rmsprop,25,False,0.50068,0.49932,0.3330309740415655,2.406712007522583,14.424450874328612
RNN,relu,rmsprop,25,True,0.50068,0.49932,0.3330309740415655,2.6528146266937256,15.677906036376951
RNN,relu,rmsprop,50,False,0.49932,0.50068,0.33363541861023,3.4663338661193848,20.11302614212036
RNN,relu,rmsprop,50,True,0.49932,0.50068,0.33363541861023,3.6453736782073975,21.037112951278687
RNN,relu,rmsprop,100,False,0.50068,0.49932,0.3330309740415655,5.5629270553588865,31.531155347824097
RNN,relu,rmsprop,100,True,0.50068,0.49932,0.3330309740415655,5.899492597579956,33.28600716590881
RNN,tanh,adam,25,False,0.50304,0.6726,0.6710592303827028,2.956381416320801,17.66001605987549
RNN,tanh,adam,25,True,0.50032,0.69896,0.6989555609191191,3.132901334762573,18.57454514503479
RNN,tanh,adam,50,False,0.49508,0.53448,0.524566566318266,4.212598371505737,24.797033071517944
RNN,tanh,adam,50,True,0.50012,0.71096,0.7107065326356341,4.405457448959351,25.76753282546997
RNN,tanh,adam,100,False,0.50292,0.57888,0.5254017668787327,6.743455219268799,39.26810312271118
RNN,tanh,adam,100,True,0.5026,0.68292,0.6776551938564259,6.992983293533325,40.55070400238037
RNN,tanh,sgd,25,False,0.49756,0.51036,0.5099177489925593,2.0745388507843017,13.196475744247437
RNN,tanh,sgd,25,True,0.4972,0.51064,0.5104897446313105,2.2995487213134767,14.307440757751465
RNN,tanh,sgd,50,False,0.50052,0.51228,0.5110713299957417,3.3844391822814943,20.644536018371586
RNN,tanh,sgd,50,True,0.50068,0.51316,0.5120149755423157,3.542253255844116,21.409627199172977
RNN,tanh,sgd,100,False,0.49976,0.50904,0.508179025283884,5.922688150405884,35.18368577957153
RNN,tanh,sgd,100,True,0.4998,0.50884,0.5078183719008845,6.098359870910644,36.030136823654175
RNN,tanh,rmsprop,25,False,0.49676,0.50588,0.4763055224272412,2.591219758987427,15.765647172927856
RNN,tanh,rmsprop,25,True,0.50172,0.51808,0.4174620958715817,2.829912805557251,16.93888831138611
RNN,tanh,rmsprop,50,False,0.50292,0.49528,0.4614248893470161,3.87436842918396,23.06879210472107
RNN,tanh,rmsprop,50,True,0.50132,0.50048,0.4680135241935862,4.106151056289673,24.208425045013428
RNN,tanh,rmsprop,100,False,0.50204,0.51244,0.4937382662971608,6.4681969165802,37.87905836105347
RNN,tanh,rmsprop,100,True,0.49616,0.4964,0.4332344654149713,6.757983016967773,39.40540313720703
LSTM,sigmoid,adam,25,False,0.49684,0.7166,0.7162555837637153,5.328887271881103,31.246779203414917
LSTM,sigmoid,adam,25,True,0.49716,0.71344,0.7127892493696517,5.57994384765625,32.52608299255371
LSTM,sigmoid,adam,50,False,0.49572,0.76632,0.7661667550445861,8.898771858215332,51.949289083480835
LSTM,sigmoid,adam,50,True,0.49876,0.76452,0.7639771092098835,9.091915702819824,52.909446716308594
LSTM,sigmoid,adam,100,False,0.49696,0.81792,0.8177721931306792,15.858941125869752,91.70776081085204
LSTM,sigmoid,adam,100,True,0.49796,0.80324,0.8030660524979447,16.15519461631775,93.33997511863708
LSTM,sigmoid,sgd,25,False,0.5032,0.50448,0.4596622234629074,4.262915515899659,25.91278290748596
LSTM,sigmoid,sgd,25,True,0.5032,0.50448,0.4596622234629074,4.60648832321167,27.62815737724304
LSTM,sigmoid,sgd,50,False,0.49868,0.515,0.513140566979029,7.743811845779419,45.786113023757935
LSTM,sigmoid,sgd,50,True,0.49868,0.515,0.513140566979029,7.841633462905884,46.28558897972107
LSTM,sigmoid,sgd,100,False,0.4996,0.51172,0.4978356382796834,14.920210361480711,86.95220589637756
LSTM,sigmoid,sgd,100,True,0.4996,0.51172,0.4978356382796834,15.11673469543457,88.24968194961548
LSTM,sigmoid,rmsprop,25,False,0.49436,0.71796,0.7174018931554584,4.919689512252807,29.178074836730957
LSTM,sigmoid,rmsprop,25,True,0.495,0.72056,0.7201859911940793,5.1279792308807375,30.229801893234253
LSTM,sigmoid,rmsprop,50,False,0.49404,0.76428,0.764244910212436,8.218925666809081,48.0335750579834
LSTM,sigmoid,rmsprop,50,True,0.49584,0.7664,0.7661827766915028,8.621920299530029,50.45806884765625
LSTM,sigmoid,rmsprop,100,False,0.5,0.79764,0.7951851153364315,15.320453023910522,89.14200115203857
LSTM,sigmoid,rmsprop,100,True,0.49888,0.81312,0.8124118785526748,15.349010038375855,88.90907430648804
LSTM,relu,adam,25,False,0.49684,0.7166,0.7162555837637153,5.222302103042603,30.651034832000732
LSTM,relu,adam,25,True,0.49716,0.71344,0.7127892493696517,5.41979751586914,31.63113594055176
LSTM,relu,adam,50,False,0.49572,0.76632,0.7661667550445861,8.273142004013062,48.17567300796509
LSTM,relu,adam,50,True,0.49876,0.76452,0.7639771092098835,8.764283370971679,51.04922294616699
LSTM,relu,adam,100,False,0.49696,0.81792,0.8177721931306792,15.41742901802063,89.58840584754944
LSTM,relu,adam,100,True,0.49796,0.80324,0.8030660524979447,15.798224544525146,91.49984812736513
LSTM,relu,sgd,25,False,0.5032,0.50448,0.4596622234629074,4.2416259288787845,25.671218872070312
LSTM,relu,sgd,25,True,0.5032,0.50448,0.4596622234629074,4.464231634140015,26.782989025115967
LSTM,relu,sgd,50,False,0.49868,0.515,0.513140566979029,7.315238523483276,43.44292306900024
LSTM,relu,sgd,50,True,0.49868,0.515,0.513140566979029,8.037494087219239,47.449949979782104
LSTM,relu,sgd,100,False,0.4996,0.51172,0.4978356382796834,194.52739281654357,984.8653600215912
LSTM,relu,sgd,100,True,0.4996,0.51172,0.4978356382796834,200.07921743392944,1012.4690759181976
LSTM,relu,rmsprop,25,False,0.49436,0.71796,0.7174018931554584,188.88426918983455,948.7960240840912
LSTM,relu,rmsprop,25,True,0.495,0.72056,0.7201859911940793,5.109588670730591,283.6502568721771
LSTM,relu,rmsprop,50,False,0.49404,0.76428,0.764244910212436,8.378630018234253,1037.8859519958496
LSTM,relu,rmsprop,50,True,0.49584,0.7664,0.7661827766915028,8.638458919525146,50.291775941848755
LSTM,relu,rmsprop,100,False,0.5,0.79764,0.7951851153364315,63.00787062644959,327.33032393455505
LSTM,relu,rmsprop,100,True,0.49888,0.81312,0.8124118785526748,15.98477087020874,92.3177251815796
LSTM,tanh,adam,25,False,0.49684,0.7166,0.7162555837637153,5.211719083786011,30.469630002975464
LSTM,tanh,adam,25,True,0.49716,0.71344,0.7127892493696517,5.42540545463562,31.539430141448975
LSTM,tanh,adam,50,False,0.49572,0.76632,0.7661667550445861,8.70088300704956,50.459269762039185
LSTM,tanh,adam,50,True,0.49876,0.76452,0.7639771092098835,9.076536655426024,52.53227114677429
LSTM,tanh,adam,100,False,0.49696,0.81792,0.8177721931306792,15.604623508453368,90.23835110664368
LSTM,tanh,adam,100,True,0.49796,0.80324,0.8030660524979447,200.91298394203187,1944.2237713336945
LSTM,tanh,sgd,25,False,0.5032,0.50448,0.4596622234629074,4.285694360733032,25.77157711982727
LSTM,tanh,sgd,25,True,0.5032,0.50448,0.4596622234629074,80.97807703018188,409.231871843338
LSTM,tanh,sgd,50,False,0.49868,0.515,0.513140566979029,126.01632957458496,637.0888912677765
LSTM,tanh,sgd,50,True,0.49868,0.515,0.513140566979029,7.769250440597534,45.6043860912323
LSTM,tanh,sgd,100,False,0.4996,0.51172,0.4978356382796834,14.837410593032835,86.22267079353333
LSTM,tanh,sgd,100,True,0.4996,0.51172,0.4978356382796834,15.206789875030518,88.2201759815216
LSTM,tanh,rmsprop,25,False,0.49436,0.71796,0.7174018931554584,4.912186050415039,28.993409156799316
LSTM,tanh,rmsprop,25,True,0.495,0.72056,0.7201859911940793,5.1626832485198975,30.24137020111084
LSTM,tanh,rmsprop,50,False,0.49404,0.76428,0.764244910212436,8.304097318649292,48.40782713890076
LSTM,tanh,rmsprop,50,True,0.49584,0.7664,0.7661827766915028,8.660620403289794,50.36631917953491
LSTM,tanh,rmsprop,100,False,0.5,0.79764,0.7951851153364315,15.577063369750975,90.23204278945924
LSTM,tanh,rmsprop,100,True,0.49888,0.81312,0.8124118785526748,15.833519649505616,91.62536907196044
BiLSTM,sigmoid,adam,25,False,0.50328,0.71376,0.7137214783621284,9.77912106513977,56.5394811630249
BiLSTM,sigmoid,adam,25,True,0.50404,0.71812,0.7178626794781913,10.052743196487429,57.957306146621704
BiLSTM,sigmoid,adam,50,False,0.5026,0.76636,0.7663341401058192,17.40449914932251,100.39831781387328
BiLSTM,sigmoid,adam,50,True,0.50248,0.76276,0.7627393909740745,17.673486185073852,101.79959201812744
BiLSTM,sigmoid,adam,100,False,0.49456,0.81796,0.8176594371097543,32.30282459259033,185.26716303825376
BiLSTM,sigmoid,adam,100,True,0.494,0.81636,0.8162996848672511,32.59640755653381,186.6776428222656
BiLSTM,sigmoid,sgd,25,False,0.50424,0.52128,0.519236254085568,8.438465261459351,49.81666111946106
BiLSTM,sigmoid,sgd,25,True,0.50424,0.52128,0.519236254085568,8.699323415756226,51.09109687805176
BiLSTM,sigmoid,sgd,50,False,0.50008,0.52332,0.5204291615648665,15.92956290245056,92.86494612693788
BiLSTM,sigmoid,sgd,50,True,0.50008,0.52332,0.5204291615648665,16.21054391860962,94.33483219146729
BiLSTM,sigmoid,sgd,100,False,0.50604,0.52804,0.5278188824933552,30.86074552536011,177.92259001731873
BiLSTM,sigmoid,sgd,100,True,0.506,0.52796,0.5277404779062109,31.01245470046997,178.44582676887512
BiLSTM,sigmoid,rmsprop,25,False,0.50228,0.7146,0.7139376127016646,9.242186403274536,53.88484072685242
BiLSTM,sigmoid,rmsprop,25,True,0.50632,0.71872,0.718115204218736,9.521737098693848,55.277085065841675
BiLSTM,sigmoid,rmsprop,50,False,0.49964,0.76216,0.7613325747867628,16.64259557723999,96.46165204048155
BiLSTM,sigmoid,rmsprop,50,True,0.50092,0.75796,0.7559958450241808,16.98754839897156,97.53991985321044
BiLSTM,sigmoid,rmsprop,100,False,0.49528,0.81408,0.813871865265835,30.98030791282654,178.18639016151428
BiLSTM,sigmoid,rmsprop,100,True,0.49364,0.8168,0.8167898586591202,31.48761630058289,180.6950078010559
BiLSTM,relu,adam,25,False,0.50328,0.71376,0.7137214783621284,9.569793939590454,55.526448249816895
BiLSTM,relu,adam,25,True,0.50404,0.71812,0.7178626794781913,9.752002429962156,56.41654586791992
BiLSTM,relu,adam,50,False,0.5026,0.76636,0.7663341401058192,16.707757997512818,96.78463196754456
